"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1","BSU00010_dnaA",236.830465481407,251.007436524968,222.653494437845,0.887039434051578,-0.172929852766818,0.437417619807903,1
"2","BSU00020_dnaN",238.682236338908,203.478401331542,273.886071346273,1.3460203616403,0.428700234179509,0.227434190989593,1
"3","BSU00030_yaaA",87.7787609653123,82.7571686861848,92.8003532444398,1.12135727596408,0.165246008866441,0.630766777799555,1
"4","BSU00040_recF",370.617999444541,397.221714022718,344.014284866365,0.866051055926641,-0.207476016862657,0.525575172402742,1
"5","BSU00050_yaaB",64.6797646592921,70.6568608792682,58.7026684393159,0.830813422911916,-0.267403569831404,0.648403100097447,1
"6","BSU00060_gyrB",795.645154105683,840.417233993312,750.873074218053,0.89345273257929,-0.162536688258825,0.569171062690855,1
"7","BSU00070_gyrA",1168.54864973323,1186.95502139348,1150.14227807299,0.968985561662417,-0.0454529259169934,0.89452285363984,1
"8","BSU00080_yaaC",196.534114266974,216.415358822277,176.652869711672,0.816267711649531,-0.29288570380965,0.321639932747486,1
"9","BSU00090_guaB",698.621117204752,755.132343080463,642.109891329041,0.850327624307069,-0.233909287878217,0.395473557498556,1
"10","BSU00100_dacA",293.40275887677,277.381563999206,309.423953754334,1.11551737358875,0.157712982963629,0.55056477991075,1
"11","BSU00110_yaaD",484.11373141747,535.562092829061,432.66537000588,0.8078715349706,-0.307802196212033,0.283036118441252,1
"12","BSU00120_yaaE",407.441012399315,477.569230604325,337.312794194305,0.706311823664735,-0.501622847458542,0.0805257980596154,0.935094520164186
"13","BSU00130_serS",318.681663864076,293.535619032306,343.827708695846,1.17133215324715,0.228150237148744,0.557498070610534,1
"14","BSU00140_dck",46.3688654693146,54.2742799479946,38.4634509906346,0.708686527531827,-0.496780471909283,0.260523243435131,1
"15","BSU00150_dgk",43.5796328748667,52.1287000920133,35.0305656577202,0.672001519237716,-0.573463600284754,0.204003474513483,1
"16","BSU00160_yaaH",1943.17554171319,2008.2765870271,1878.07449639929,0.935167251628146,-0.0967036854849734,0.566449436108272,1
"17","BSU00170_yaaI",20.1302554490981,19.7824991921782,20.478011706018,1.0351579700362,0.0498509466593266,0.892663304879822,1
"18","BSU00180_tadA",55.8913022789532,58.8561716713708,52.9264328865356,0.899250348494556,-0.153205281426045,0.633754206897907,1
"19","BSU00190_dnaX",435.244486498915,422.121863781464,448.367109216365,1.06217457015799,0.0870208949593693,0.784811649221956,1
"20","BSU00200_yaaK",441.020907159437,457.622956110425,424.418858208449,0.927442237198512,-0.108670664045891,0.663227378335783,1
"21","BSU00210_recR",462.939534375879,478.295424512055,447.583644239704,0.935789098748577,-0.0957446724222783,0.605365139772951,1
"22","BSU00220_yaaL",189.676249340987,190.296417009029,189.056081672944,0.993482087810269,-0.0094341385450346,0.923904506936641,1
"23","BSU00230_bofA",81.2369723652479,92.3754594460717,70.0984852844241,0.758843157097878,-0.398126364529446,0.345836891370753,1
"24","BSU00240_csfB",556.124551118467,432.83198988616,679.417112350775,1.56970170464866,0.650490425287717,0.0337643027830691,0.71744067993311
"25","BSU00250_xpaC",284.779797605139,294.13612847195,275.423466738328,0.936380947723642,-0.094832514243768,0.747636523484408,1
"26","BSU00260_yaaN",611.763027824769,606.282432063175,617.243623586362,1.01807934873832,0.0258500089283918,0.893049948750707,1
"27","BSU00270_yaaO",273.059427113555,248.180095699285,297.938758527824,1.20049417213873,0.263628399947374,0.417436481917321,1
"28","BSU00280_tmk",195.421987964575,187.414484416106,203.429491513044,1.08545234455508,0.118296387599052,0.790236087648533,1
"29","BSU00290_yaaQ",805.798242434529,680.339211203348,931.25727366571,1.36881317191545,0.452925547878061,0.075532105912507,0.916298944818515
"30","BSU00300_yaaR",1201.95700599399,1096.59691285209,1307.31709913589,1.19215828880618,0.253575802339186,0.322481176001929,1
"31","BSU00310_holB",841.641785297917,750.205127578433,933.078443017402,1.24376441684591,0.314713248463567,0.192277278939115,1
"32","BSU00320_yaaT",652.303704693362,644.101766137444,660.50564324928,1.02546783439239,0.0362822398525142,0.870100702818244,1
"33","BSU00330_yabA",235.40808181088,229.662093741242,241.154069880518,1.0500386282824,0.0704424019927187,0.663406247762203,1
"34","BSU00340_yabB",63.9127417894552,64.3838966130454,63.441586965865,0.985364202902415,-0.0212710336627168,0.946646205482849,1
"35","BSU00350_yazA",106.53854928704,117.821526877222,95.2555716968574,0.808473410772548,-0.306727768037377,0.286095566396078,1
"36","BSU00360_yabC",119.14926321124,134.094924274015,104.203602148465,0.777088340312799,-0.363849479669197,0.303267745468146,1
"37","BSU00370_abrB",200.042753788302,222.716255092923,177.369252483682,0.796391140869709,-0.32845092241562,0.383286937471016,1
"38","BSU00380_metS",546.436471102656,643.110227739511,449.762714465801,0.699355561560087,-0.515901967644581,0.0479284305205291,0.80661431580013
"39","BSU00390_yabD",89.222579498928,98.4211700557272,80.0239889421289,0.813076992448052,-0.298536123443453,0.441902092414007,1
"40","BSU00400_yabE",1084.13608000644,1239.05197275625,929.220187256631,0.749944479882953,-0.415144301362047,0.19447519840311,1
"41","BSU00410_rnmV",154.583561782514,163.895629771975,145.271493793053,0.88636587806012,-0.174025751069058,0.476185241342406,1
"42","BSU00420_ksgA",152.815779126598,170.90494677514,134.726611478056,0.788313118024114,-0.343159312801689,0.26485801276053,1
"43","BSU00430_yabG",5310.18924921422,4698.94402937469,5921.43446905376,1.2601628008414,0.333610128006372,0.137017727007492,1
