"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"82"	562	356	161	52	21	7	3	1	0	0	0	0	0	0	0	0	0
"83"	555	376	158	51	14	6	1	0	0	1	0	0	1	0	0	0	0
"84"	582	329	152	61	23	10	5	1	0	0	0	0	0	0	0	0	0
"85"	592	354	144	39	23	9	2	0	0	0	0	0	0	0	0	0	0
"86"	619	311	143	60	19	9	1	1	0	0	0	0	0	0	0	0	0
"87"	580	346	146	55	21	7	5	1	2	0	0	0	0	0	0	0	0
"88"	611	316	138	64	23	8	2	0	0	0	1	0	0	0	0	0	0
"89"	609	302	157	55	23	9	7	1	0	0	0	0	0	0	0	0	0
"90"	587	339	145	56	21	11	3	1	0	0	0	0	0	0	0	0	0
"91"	610	316	147	54	24	7	2	1	1	1	0	0	0	0	0	0	0
"92"	581	329	158	55	31	6	2	1	0	0	0	0	0	0	0	0	0
"93"	605	320	150	56	20	8	3	0	0	1	0	0	0	0	0	0	0
"94"	579	342	150	57	21	9	3	1	0	0	1	0	0	0	0	0	0
"95"	588	318	165	60	18	9	3	2	0	0	0	0	0	0	0	0	0
"96"	595	316	147	66	22	11	6	0	0	0	0	0	0	0	0	0	0
"97"	573	342	150	69	21	3	4	1	0	0	0	0	0	0	0	0	0
"98"	593	323	150	59	24	9	3	0	2	0	0	0	0	0	0	0	0
"99"	579	326	152	70	29	3	2	1	1	0	0	0	0	0	0	0	0
"100"	623	310	145	53	19	10	3	0	0	0	0	0	0	0	0	0	0
"101"	579	349	148	52	23	9	2	1	0	0	0	0	0	0	0	0	0
"102"	584	335	140	61	23	14	4	2	0	0	0	0	0	0	0	0	0
"103"	597	331	143	61	18	10	2	0	0	0	1	0	0	0	0	0	0
"104"	593	328	141	51	32	10	5	2	0	0	0	1	0	0	0	0	0
"105"	588	344	144	55	22	3	2	3	1	1	0	0	0	0	0	0	0
"106"	604	316	149	59	19	15	0	0	0	1	0	0	0	0	0	0	0
"107"	599	349	131	54	16	11	2	0	0	1	0	0	0	0	0	0	0
"108"	595	336	152	52	20	3	4	0	1	0	0	0	0	0	0	0	0
"109"	607	321	150	48	22	8	4	3	0	0	0	0	0	0	0	0	0
"110"	596	333	141	61	18	10	2	2	0	0	0	0	0	0	0	0	0
